cust_id,AVARAGE _INTER_BOUNCE_TIME,salary of customer,FIRST 3 MONTH_BOUNCE_RATIO,FIRST_MONTH_BOUNCE,LATEST 3 MONTH_BOUNCE_RATIO,LATEST 3 MONTH_CLEAR_RATIO,LATEST_3 MONTHONTH_AVARAGE UNIQ_INTENSITY,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_GT15D,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_LQ15D,LATEST_MONTH_BOUNCE,LATEST_MONTH_FIRST_FOLLOWUP_DAY,LATEST_MONTH_LAST_FOLLOWUP_DAY,LATEST_MONTH_UNIQ_INTENSITY,month on book,NEVER_BOUNCE_FLAG,NUMBER OF TIME_BANK_CLEAR,NUMBER OF TIME_BOUNCE_PAID_BY_ END OF THE MONTH,NUMBER OF TIME_BOUNCES_LATEST_25PT,NUMBER OF TIME_CLEAR,number of deviations customer have at time of disbursal. ,Median day Offline payment  (like manual or mobility app payment)number of receipt cut,On which day receipt cut has been done,median receipt cut in last 6 month,remaining tenure of customer,RATE OF INTEREST,total number of dre receipt cut,TOTAL_OUTSTANDING_BALANCE LIVE_TRACTOR LOAN,number of unique receipt cut
cust4133,,534841,0,,0,0,,,,,,,,1,NO,,,,,1,0,,0,29,16.24,0,,0
cust4134,0,250000,0,0,0,0,2,0,1,0,12,17,2,2,YES,0,0,0,0,3,11,15,11,22,18,1,,1
cust4135,0,522632,0,0,0,0,0,0,0,0,0,0,0,2,YES,0,0,0,0,2,4,5,4,39,18.5,1,,1
cust4136,0.5,168492,1,1,1,0,2,1,0,1,25,25,2,3,NO,0,2,1,0,2,15,5,15,21,22,2,,2
cust4137,,277706,0,,0,0,,,,,,,,1,NO,,,,,1,0,15,0,17,20.5,0,,0
cust4138,,610100,0,,0,0,,,,,,,,1,NO,,,,,0,0,4,0,11,26,0,,0
cust4139,,125000,0,,0,0,,,,,,,,1,NO,,,,,1,0,13,0,23,15.23,0,,0
cust4140,0.5,640000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,0,19,31,19,21,24,2,,2
cust4141,0.5,650000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,1,15,9,15,23,23,2,,2
cust4142,0,450000,1,1,1,0,2,1,0,1,25,25,2,2,NO,0,1,1,0,2,23,30,23,32,23.2,1,,1
cust4143,0,425000,1,1,1,0,2,0,1,1,12,17,2,2,NO,0,1,1,0,0,6,13,6,25,22.01,1,,1
cust4144,0.5,300000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,0,13,18,13,33,19.5,2,,2
cust4145,0.5,300000,1,1,1,0,0,0,0,1,0,0,0,3,NO,0,2,1,0,1,15,5,15,31,19.51,2,,2
cust4146,0,135000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,0,7,5,7,24,19.66,1,,1
